"","eventDate","samplingEffort","samplingProtocol"
"522",2016-05-03,NA,"Captured-cage trap"
"523",2022-10-16,"82 Trap Nights","Camera Trapping"
"524",NA,NA,NA
"525",2022-10-02,"82 Trap Nights","Camera Trapping"
"526",2022-09-23,"82 Trap Nights","Camera Trapping"
"527",2022-11-21,"55 Trap Nights","Camera Trapping"
"528",2022-10-18,"82 Trap Nights","Camera Trapping"
"529",2022-09-15,"78 Trap Nights","Camera Trapping"
"530",2022-12-20,"55 Trap Nights","Camera Trapping"
"531",2022-10-15,"82 Trap Nights","Camera Trapping"
"532",2022-10-19,"82 Trap Nights","Camera Trapping"
"533",2022-11-21,"55 Trap Nights","Camera Trapping"
"534",2022-12-24,"55 Trap Nights","Camera Trapping"
"535",2022-11-05,"82 Trap Nights","Camera Trapping"
"536",2016-05-06,NA,"Captured-cage trap"
"537",2022-12-11,"59 Trap Nights","Camera Trapping"
"538",2021-03-26,NA,"Captured-cage trap"
"539",2022-09-25,"82 Trap Nights","Camera Trapping"
"540",2022-10-28,"82 Trap Nights","Camera Trapping"
"541",2016-05-05,NA,"Captured-cage trap"
"542",2016-05-05,NA,"Captured-cage trap"
"543",2021-12-16,"172 Trap Nights","Camera Trapping"
"544",2022-10-08,"82 Trap Nights","Camera Trapping"
"545",2022-09-12,"82 Trap Nights","Camera Trapping"
"546",2022-10-12,"78 Trap Nights","Camera Trapping"
"547",2016-05-06,NA,"Captured-cage trap"
"548",2022-10-04,"82 Trap Nights","Camera Trapping"
"549",2022-12-13,"55 Trap Nights","Camera Trapping"
"550",2022-09-22,"82 Trap Nights","Camera Trapping"
"551",NA,NA,NA
"552",2016-05-05,NA,"Captured-cage trap"
"553",2021-11-20,"172 Trap Nights","Camera Trapping"
"554",2022-12-09,"59 Trap Nights","Camera Trapping"
"555",2016-05-05,NA,"Captured-cage trap"
"556",2022-09-20,"78 Trap Nights","Camera Trapping"
"557",2022-09-09,"82 Trap Nights","Camera Trapping"
"558",2022-09-20,"82 Trap Nights","Camera Trapping"
"559",2013-07-23,NA,"Captured-cage trap"
"560",2022-12-13,"8 Trap Nights","Cage Trapping"
"561",2022-10-21,"82 Trap Nights","Camera Trapping"
"562",2022-10-12,"82 Trap Nights","Camera Trapping"
"563",NA,NA,NA
"564",2022-12-27,"55 Trap Nights","Camera Trapping"
"565",NA,NA,NA
"566",2022-10-17,"82 Trap Nights","Camera Trapping"
"567",2022-09-19,"82 Trap Nights","Camera Trapping"
"568",2022-11-15,"55 Trap Nights","Camera Trapping"
"569",2022-09-17,"82 Trap Nights","Camera Trapping"
"570",2022-12-11,"55 Trap Nights","Camera Trapping"
"571",NA,NA,NA
"572",2022-10-15,"82 Trap Nights","Camera Trapping"
"573",2022-09-30,"82 Trap Nights","Camera Trapping"
"574",2022-12-12,"55 Trap Nights","Camera Trapping"
"575",2016-05-05,NA,"Captured-cage trap"
"576",2022-10-05,"82 Trap Nights","Camera Trapping"
"577",2022-11-04,"59 Trap Nights","Camera Trapping"
"578",NA,NA,NA
"579",NA,NA,"PICK UP"
"580",2022-10-30,"82 Trap Nights","Camera Trapping"
"581",2022-10-02,"82 Trap Nights","Camera Trapping"
"582",2022-12-14,"8 Trap Nights","Cage Trapping"
"583",2013-07-23,NA,"Captured-cage trap"
"584",2016-05-03,NA,"Captured-cage trap"
"585",2022-09-10,"78 Trap Nights","Camera Trapping"
"586",2022-09-26,"78 Trap Nights","Camera Trapping"
"587",2021-08-31,NA,"Captured-cage trap"
"588",2022-11-23,"55 Trap Nights","Camera Trapping"
"589",2022-10-14,"82 Trap Nights","Camera Trapping"
"590",2022-10-03,"82 Trap Nights","Camera Trapping"
"591",2022-09-20,"82 Trap Nights","Camera Trapping"
"592",2022-09-18,"82 Trap Nights","Camera Trapping"
"593",2022-10-04,"82 Trap Nights","Camera Trapping"
"594",2021-12-31,"172 Trap Nights","Camera Trapping"
"595",2014-04-17,NA,"Observed-spotlighting"
"596",2013-07-23,NA,"Captured-cage trap"
"597",2022-09-10,"82 Trap Nights","Camera Trapping"
"598",NA,NA,NA
"599",1999-11-09,NA,"Captured-cage trap"
"600",2016-05-04,NA,"Captured-cage trap"
"601",2022-10-17,"82 Trap Nights","Camera Trapping"
"602",2022-10-01,"82 Trap Nights","Camera Trapping"
"603",2016-05-06,NA,"Captured-cage trap"
"604",2022-11-03,"82 Trap Nights","Camera Trapping"
"605",2016-05-05,NA,"Captured-cage trap"
"606",NA,NA,NA
"607",2022-12-31,"55 Trap Nights","Camera Trapping"
"608",2022-09-12,"82 Trap Nights","Camera Trapping"
"609",2022-11-08,"55 Trap Nights","Camera Trapping"
"610",2022-10-24,"82 Trap Nights","Camera Trapping"
"611",2022-11-10,"55 Trap Nights","Camera Trapping"
"612",2022-10-10,"82 Trap Nights","Camera Trapping"
"613",NA,NA,NA
"614",2022-09-28,"82 Trap Nights","Camera Trapping"
"615",2022-09-27,"82 Trap Nights","Camera Trapping"
"616",2014-03-18,NA,"Observed-spotlighting"
"617",2022-12-16,"55 Trap Nights","Camera Trapping"
"618",2016-05-05,NA,"Captured-cage trap"
"619",2022-12-12,"55 Trap Nights","Camera Trapping"
"620",NA,NA,"BY HAND"
"621",2022-11-02,"82 Trap Nights","Camera Trapping"
"622",2022-09-14,"82 Trap Nights","Camera Trapping"
"623",2016-05-03,NA,"Captured-cage trap"
"624",2022-09-17,"82 Trap Nights","Camera Trapping"
"625",2022-09-17,"82 Trap Nights","Camera Trapping"
"626",2022-09-19,"82 Trap Nights","Camera Trapping"
"627",2022-09-29,"82 Trap Nights","Camera Trapping"
"628",2022-10-07,"78 Trap Nights","Camera Trapping"
"629",2022-09-20,"82 Trap Nights","Camera Trapping"
"630",2022-10-29,"82 Trap Nights","Camera Trapping"
"631",2016-05-04,NA,"Captured-cage trap"
"632",2022-11-12,"55 Trap Nights","Camera Trapping"
"633",2022-09-09,"82 Trap Nights","Camera Trapping"
"634",2022-09-28,"82 Trap Nights","Camera Trapping"
"635",2022-12-14,"8 Trap Nights","Cage Trapping"
"636",2022-09-29,"82 Trap Nights","Camera Trapping"
"637",2022-10-04,"82 Trap Nights","Camera Trapping"
"638",2016-05-04,NA,"Captured-cage trap"
"639",NA,NA,NA
"640",2022-11-11,"55 Trap Nights","Camera Trapping"
"641",2022-09-12,"82 Trap Nights","Camera Trapping"
"642",2022-09-10,"82 Trap Nights","Camera Trapping"
"643",2013-07-23,NA,"Captured-cage trap"
"644",2022-09-20,"78 Trap Nights","Camera Trapping"
"645",2022-11-03,"82 Trap Nights","Camera Trapping"
"646",2013-07-23,NA,"Captured-cage trap"
"647",2022-10-27,"82 Trap Nights","Camera Trapping"
"648",2022-12-16,"55 Trap Nights","Camera Trapping"
"649",2022-09-17,"82 Trap Nights","Camera Trapping"
"650",2021-09-25,"172 Trap Nights","Camera Trapping"
"651",2022-09-22,"82 Trap Nights","Camera Trapping"
"652",2022-12-18,"55 Trap Nights","Camera Trapping"
"653",2022-09-10,"82 Trap Nights","Camera Trapping"
"654",2022-09-24,"82 Trap Nights","Camera Trapping"
"655",NA,NA,NA
"656",NA,NA,NA
"657",NA,NA,"PICK UP"
"658",2021-10-27,"172 Trap Nights","Camera Trapping"
"659",2022-10-16,"82 Trap Nights","Camera Trapping"
"660",2022-10-05,"82 Trap Nights","Camera Trapping"
"661",2022-11-01,"82 Trap Nights","Camera Trapping"
"662",2022-10-25,"82 Trap Nights","Camera Trapping"
"663",2022-11-05,"82 Trap Nights","Camera Trapping"
"664",2022-12-16,"55 Trap Nights","Camera Trapping"
"665",NA,NA,NA
"666",NA,NA,NA
"667",2021-03-24,NA,"Captured-cage trap"
"668",2022-10-13,"82 Trap Nights","Camera Trapping"
"669",2022-09-16,"82 Trap Nights","Camera Trapping"
"670",2016-05-06,NA,"Captured-cage trap"
"671",2022-10-23,"82 Trap Nights","Camera Trapping"
"672",2022-09-08,"82 Trap Nights","Camera Trapping"
"673",2021-09-23,"172 Trap Nights","Camera Trapping"
"674",1996-11-12,NA,"Captured-cage trap"
"675",2022-09-08,"82 Trap Nights","Camera Trapping"
"676",2001-03-22,NA,"Observed-spotlighting"
"677",NA,NA,NA
"678",2021-10-25,"172 Trap Nights","Camera Trapping"
"679",2022-10-31,"82 Trap Nights","Camera Trapping"
"680",2022-09-10,"82 Trap Nights","Camera Trapping"
"681",2022-09-13,"82 Trap Nights","Camera Trapping"
"682",NA,NA,NA
"683",2022-12-19,"55 Trap Nights","Camera Trapping"
"684",2022-10-11,"82 Trap Nights","Camera Trapping"
"685",2022-12-19,"55 Trap Nights","Camera Trapping"
"686",2013-07-25,NA,"Captured-cage trap"
"687",2022-11-14,"55 Trap Nights","Camera Trapping"
"688",2016-05-05,NA,"Captured-cage trap"
"689",2013-07-24,NA,"Captured-cage trap"
"690",2022-11-11,"55 Trap Nights","Camera Trapping"
"691",2022-11-16,"55 Trap Nights","Camera Trapping"
"692",2022-11-14,"55 Trap Nights","Camera Trapping"
"693",2022-09-29,"82 Trap Nights","Camera Trapping"
"694",2016-05-04,NA,"Captured-cage trap"
"695",2021-12-31,"172 Trap Nights","Camera Trapping"
"696",2016-05-05,NA,"Captured-cage trap"
"697",2021-10-20,"172 Trap Nights","Camera Trapping"
"698",2022-11-10,"59 Trap Nights","Camera Trapping"
"699",2022-10-14,"82 Trap Nights","Camera Trapping"
"700",2022-11-18,"55 Trap Nights","Camera Trapping"
"701",2022-10-16,"82 Trap Nights","Camera Trapping"
"702",NA,NA,NA
"703",NA,NA,NA
"704",2016-05-06,NA,"Captured-cage trap"
"705",NA,NA,NA
"706",2022-10-23,"82 Trap Nights","Camera Trapping"
"707",NA,NA,NA
"708",2022-10-14,"82 Trap Nights","Camera Trapping"
"709",2022-10-15,"82 Trap Nights","Camera Trapping"
"710",2013-07-24,NA,"Captured-cage trap"
"711",2016-05-03,NA,"Captured-cage trap"
"712",2021-08-31,NA,"Captured-cage trap"
"713",2022-12-06,"55 Trap Nights","Camera Trapping"
"714",2022-10-29,"82 Trap Nights","Camera Trapping"
"715",2022-09-19,"82 Trap Nights","Camera Trapping"
"716",2022-09-12,"78 Trap Nights","Camera Trapping"
"717",2022-09-10,"82 Trap Nights","Camera Trapping"
"718",NA,NA,NA
"719",1973-08-28,NA,NA
"720",2022-10-18,"82 Trap Nights","Camera Trapping"
"721",2022-11-05,"82 Trap Nights","Camera Trapping"
"722",2022-12-10,"55 Trap Nights","Camera Trapping"
"723",2022-09-20,"82 Trap Nights","Camera Trapping"
"724",2022-10-10,"82 Trap Nights","Camera Trapping"
"725",2022-09-17,"82 Trap Nights","Camera Trapping"
"726",2022-12-16,"10 Trap Nights","Cage Trapping"
"727",NA,NA,NA
"728",2022-12-10,"59 Trap Nights","Camera Trapping"
"729",NA,NA,NA
"730",2022-10-22,"82 Trap Nights","Camera Trapping"
"731",2022-12-17,"55 Trap Nights","Camera Trapping"
"732",2022-10-30,"82 Trap Nights","Camera Trapping"
"733",NA,NA,NA
"734",2022-11-13,"55 Trap Nights","Camera Trapping"
"735",2016-05-03,NA,"Captured-cage trap"
"736",2021-10-27,"172 Trap Nights","Camera Trapping"
"737",2021-10-21,"172 Trap Nights","Camera Trapping"
"738",2016-05-05,NA,"Captured-cage trap"
"739",2022-11-04,"82 Trap Nights","Camera Trapping"
"740",2022-10-16,"83 Trap Nights","Camera Trapping"
"741",NA,NA,NA
"742",2022-09-29,"82 Trap Nights","Camera Trapping"
"743",2021-12-31,"172 Trap Nights","Camera Trapping"
"744",2022-11-08,"55 Trap Nights","Camera Trapping"
"745",2022-10-27,"82 Trap Nights","Camera Trapping"
"746",NA,NA,NA
"747",2022-10-18,"82 Trap Nights","Camera Trapping"
"748",2022-09-11,"83 Trap Nights","Camera Trapping"
"749",2021-12-16,"172 Trap Nights","Camera Trapping"
"750",2022-09-11,"82 Trap Nights","Camera Trapping"
"751",2022-09-14,"82 Trap Nights","Camera Trapping"
"752",2022-09-26,"82 Trap Nights","Camera Trapping"
"753",2014-03-18,NA,"Observed-spotlighting"
"754",NA,NA,NA
"755",2013-07-25,NA,"Captured-cage trap"
"756",2022-10-13,"83 Trap Nights","Camera Trapping"
"757",2021-09-25,"172 Trap Nights","Camera Trapping"
"758",2022-10-28,"82 Trap Nights","Camera Trapping"
"759",2022-11-12,"55 Trap Nights","Camera Trapping"
"760",2022-09-11,"82 Trap Nights","Camera Trapping"
"761",2022-09-08,"82 Trap Nights","Camera Trapping"
"762",2022-12-13,"8 Trap Nights","Cage Trapping"
"763",2021-12-07,"172 Trap Nights","Camera Trapping"
"764",2022-12-20,"55 Trap Nights","Camera Trapping"
"765",NA,NA,NA
"766",NA,NA,"ROAD KILL"
"767",2022-12-02,"55 Trap Nights","Camera Trapping"
"768",2016-05-03,NA,"Captured-cage trap"
"769",2022-12-15,"10 Trap Nights","Cage Trapping"
"770",2021-10-19,"172 Trap Nights","Camera Trapping"
"771",2021-09-01,NA,"Captured-cage trap"
"772",2022-12-14,"8 Trap Nights","Cage Trapping"
"773",2022-09-23,"82 Trap Nights","Camera Trapping"
"774",2016-05-05,NA,"Captured-cage trap"
"775",2022-11-24,"55 Trap Nights","Camera Trapping"
"776",2022-10-03,"82 Trap Nights","Camera Trapping"
"777",2021-10-15,"172 Trap Nights","Camera Trapping"
"778",2022-09-19,"82 Trap Nights","Camera Trapping"
"779",2022-11-03,"82 Trap Nights","Camera Trapping"
"780",2022-09-24,"78 Trap Nights","Camera Trapping"
"781",2022-11-26,"55 Trap Nights","Camera Trapping"
"782",2013-07-23,NA,"Captured-cage trap"
"783",2022-10-17,"82 Trap Nights","Camera Trapping"
"784",2021-10-18,NA,"Captured-cage trap"
"785",NA,NA,NA
"786",2022-10-30,"82 Trap Nights","Camera Trapping"
"787",2022-12-26,"55 Trap Nights","Camera Trapping"
"788",2022-10-07,"78 Trap Nights","Camera Trapping"
"789",2022-11-16,"55 Trap Nights","Camera Trapping"
"790",2021-03-24,NA,"Captured-cage trap"
"791",2022-11-16,"55 Trap Nights","Camera Trapping"
"792",2021-10-15,"172 Trap Nights","Camera Trapping"
"793",NA,NA,NA
"794",2021-10-20,"172 Trap Nights","Camera Trapping"
"795",2022-12-27,"55 Trap Nights","Camera Trapping"
"796",2016-05-04,NA,"Captured-cage trap"
"797",2022-11-11,"55 Trap Nights","Camera Trapping"
"798",2000-11-09,NA,"Captured-cage trap"
"799",2021-09-17,"172 Trap Nights","Camera Trapping"
"800",2022-11-22,"55 Trap Nights","Camera Trapping"
"801",2016-05-03,NA,"Captured-cage trap"
"802",2021-10-03,"172 Trap Nights","Camera Trapping"
"803",2016-05-04,NA,"Captured-cage trap"
"804",2022-12-08,"55 Trap Nights","Camera Trapping"
"805",2022-11-10,"55 Trap Nights","Camera Trapping"
"806",2000-11-08,NA,"Captured-cage trap"
"807",2022-10-13,"82 Trap Nights","Camera Trapping"
"808",2022-10-10,"82 Trap Nights","Camera Trapping"
"809",2022-10-05,"82 Trap Nights","Camera Trapping"
"810",NA,NA,NA
"811",2016-05-06,NA,"Captured-cage trap"
"812",2022-11-09,"55 Trap Nights","Camera Trapping"
"813",2022-10-02,"82 Trap Nights","Camera Trapping"
"814",2022-10-29,"82 Trap Nights","Camera Trapping"
"815",2022-12-13,"55 Trap Nights","Camera Trapping"
"816",2022-12-21,"55 Trap Nights","Camera Trapping"
"817",2022-12-16,"55 Trap Nights","Camera Trapping"
"818",2022-09-17,"82 Trap Nights","Camera Trapping"
"819",2022-09-16,"82 Trap Nights","Camera Trapping"
"820",2021-10-15,"172 Trap Nights","Camera Trapping"
"821",2022-10-15,"82 Trap Nights","Camera Trapping"
"822",2022-12-16,"8 Trap Nights","Cage Trapping"
"823",2022-09-27,"82 Trap Nights","Camera Trapping"
"824",2021-11-15,"172 Trap Nights","Camera Trapping"
"825",2022-10-16,"82 Trap Nights","Camera Trapping"
"826",2022-10-28,"82 Trap Nights","Camera Trapping"
"827",2022-12-14,"10 Trap Nights","Cage Trapping"
"828",2021-09-01,NA,"Captured-cage trap"
"829",2022-10-06,"82 Trap Nights","Camera Trapping"
"830",2022-11-10,"55 Trap Nights","Camera Trapping"
"831",2022-12-17,"55 Trap Nights","Camera Trapping"
"832",2022-10-16,"82 Trap Nights","Camera Trapping"
"833",2021-03-23,NA,"Captured-cage trap"
"834",2022-10-11,"82 Trap Nights","Camera Trapping"
"835",2022-09-25,"82 Trap Nights","Camera Trapping"
"836",2021-10-12,NA,"Captured-cage trap"
"837",2022-12-08,"55 Trap Nights","Camera Trapping"
"838",2022-11-20,"55 Trap Nights","Camera Trapping"
"839",2013-07-25,NA,"Captured-cage trap"
"840",2022-09-28,"82 Trap Nights","Camera Trapping"
"841",2022-12-03,"55 Trap Nights","Camera Trapping"
"842",2022-11-30,"55 Trap Nights","Camera Trapping"
"843",2022-09-19,"82 Trap Nights","Camera Trapping"
"844",2016-05-04,NA,"Captured-cage trap"
"845",2022-10-15,"82 Trap Nights","Camera Trapping"
"846",2022-12-14,"55 Trap Nights","Camera Trapping"
"847",2013-07-24,NA,"Captured-cage trap"
"848",2022-09-24,"82 Trap Nights","Camera Trapping"
"849",2016-05-03,NA,"Captured-cage trap"
"850",2022-10-19,"82 Trap Nights","Camera Trapping"
"851",2022-12-14,"55 Trap Nights","Camera Trapping"
"852",2016-05-03,NA,"Captured-cage trap"
"853",2022-10-14,"82 Trap Nights","Camera Trapping"
"854",2022-10-07,"82 Trap Nights","Camera Trapping"
"855",2022-11-22,"55 Trap Nights","Camera Trapping"
"856",2022-10-21,"82 Trap Nights","Camera Trapping"
"857",2022-12-05,"55 Trap Nights","Camera Trapping"
"858",2022-12-15,"55 Trap Nights","Camera Trapping"
"859",2022-10-13,"82 Trap Nights","Camera Trapping"
"860",2013-07-23,NA,"Captured-cage trap"
"861",2022-11-16,"55 Trap Nights","Camera Trapping"
"862",NA,NA,"Trap"
"863",2016-05-02,NA,"Captured-cage trap"
"864",2022-10-17,"82 Trap Nights","Camera Trapping"
"865",2022-09-17,"82 Trap Nights","Camera Trapping"
"866",2022-10-26,"82 Trap Nights","Camera Trapping"
"867",NA,NA,"ROAD KILL"
"868",2016-05-06,NA,"Captured-cage trap"
"869",2022-09-21,"82 Trap Nights","Camera Trapping"
"870",2022-11-13,"55 Trap Nights","Camera Trapping"
"871",2022-10-17,"82 Trap Nights","Camera Trapping"
"872",2022-10-19,"82 Trap Nights","Camera Trapping"
"873",2022-11-22,"55 Trap Nights","Camera Trapping"
"874",2022-11-03,"82 Trap Nights","Camera Trapping"
"875",2022-11-06,"82 Trap Nights","Camera Trapping"
"876",2022-12-23,"55 Trap Nights","Camera Trapping"
"877",2022-10-30,"82 Trap Nights","Camera Trapping"
"878",2022-10-01,"82 Trap Nights","Camera Trapping"
"879",2022-12-06,"55 Trap Nights","Camera Trapping"
"880",2022-09-28,"82 Trap Nights","Camera Trapping"
"881",2022-12-05,"55 Trap Nights","Camera Trapping"
"882",2022-12-18,"55 Trap Nights","Camera Trapping"
"883",2022-11-28,"55 Trap Nights","Camera Trapping"
"884",2013-07-25,NA,"Captured-cage trap"
"885",2022-12-16,"55 Trap Nights","Camera Trapping"
"886",2021-10-22,"172 Trap Nights","Camera Trapping"
"887",NA,NA,NA
"888",2022-12-07,"55 Trap Nights","Camera Trapping"
"889",2022-11-20,"55 Trap Nights","Camera Trapping"
"890",2022-12-21,"55 Trap Nights","Camera Trapping"
"891",2022-12-09,"55 Trap Nights","Camera Trapping"
"892",2022-10-13,"82 Trap Nights","Camera Trapping"
"893",2021-08-31,NA,"Captured-cage trap"
"894",2022-11-26,"55 Trap Nights","Camera Trapping"
"895",2022-10-01,"82 Trap Nights","Camera Trapping"
"896",2022-12-04,"55 Trap Nights","Camera Trapping"
"897",2022-09-18,"82 Trap Nights","Camera Trapping"
"898",2016-05-06,NA,"Captured-cage trap"
"899",2016-05-04,NA,"Captured-cage trap"
"900",2022-09-12,"82 Trap Nights","Camera Trapping"
"901",2013-07-25,NA,"Captured-cage trap"
"902",2022-11-21,"55 Trap Nights","Camera Trapping"
"903",2016-05-05,NA,"Captured-cage trap"
"904",2022-12-24,"55 Trap Nights","Camera Trapping"
"905",2022-11-23,"55 Trap Nights","Camera Trapping"
"906",2022-12-29,"55 Trap Nights","Camera Trapping"
"907",2022-09-21,"82 Trap Nights","Camera Trapping"
"908",2022-12-17,"55 Trap Nights","Camera Trapping"
"909",2022-11-11,"55 Trap Nights","Camera Trapping"
"910",2022-12-15,"10 Trap Nights","Cage Trapping"
"911",2022-10-24,"82 Trap Nights","Camera Trapping"
"912",2018-12-28,NA,"Road kill"
"913",2022-11-23,"55 Trap Nights","Camera Trapping"
"914",2022-09-17,"82 Trap Nights","Camera Trapping"
"915",2016-05-03,NA,"Captured-cage trap"
"916",2022-12-17,"55 Trap Nights","Camera Trapping"
"917",NA,NA,NA
"918",2022-10-09,"82 Trap Nights","Camera Trapping"
"919",2022-10-14,"82 Trap Nights","Camera Trapping"
"920",2018-12-28,NA,"Road kill"
"921",2021-08-31,NA,"Captured-cage trap"
"922",2016-05-03,NA,"Captured-cage trap"
"923",2022-09-27,"82 Trap Nights","Camera Trapping"
"924",2022-12-09,"55 Trap Nights","Camera Trapping"
"925",2022-09-12,"82 Trap Nights","Camera Trapping"
"926",2022-09-28,"82 Trap Nights","Camera Trapping"
"927",2022-10-18,"83 Trap Nights","Camera Trapping"
"928",2022-12-12,"55 Trap Nights","Camera Trapping"
"929",2022-12-19,"55 Trap Nights","Camera Trapping"
"930",2022-09-17,"82 Trap Nights","Camera Trapping"
"931",2021-10-19,"172 Trap Nights","Camera Trapping"
"932",2022-09-19,"82 Trap Nights","Camera Trapping"
"933",2021-11-09,"172 Trap Nights","Camera Trapping"
"934",2022-10-16,"82 Trap Nights","Camera Trapping"
"935",2022-12-27,"55 Trap Nights","Camera Trapping"
"936",2013-07-24,NA,"Captured-cage trap"
"937",2022-11-09,"55 Trap Nights","Camera Trapping"
"938",2022-09-11,"82 Trap Nights","Camera Trapping"
"939",2022-11-02,"83 Trap Nights","Camera Trapping"
"940",2021-10-23,"172 Trap Nights","Camera Trapping"
"941",2022-11-14,"55 Trap Nights","Camera Trapping"
"942",2022-09-21,"82 Trap Nights","Camera Trapping"
"943",2022-12-09,"55 Trap Nights","Camera Trapping"
"944",2022-11-23,"55 Trap Nights","Camera Trapping"
"945",2022-12-11,"55 Trap Nights","Camera Trapping"
"946",2022-09-19,"82 Trap Nights","Camera Trapping"
"947",2022-09-17,"82 Trap Nights","Camera Trapping"
"948",NA,NA,NA
"949",2022-10-01,"83 Trap Nights","Camera Trapping"
"950",2014-04-16,NA,"Observed-spotlighting"
"951",2022-10-27,"82 Trap Nights","Camera Trapping"
"952",2022-11-19,"55 Trap Nights","Camera Trapping"
"953",2022-11-12,"55 Trap Nights","Camera Trapping"
"954",2022-11-25,"54 Trap Nights","Camera Trapping"
"955",2022-11-03,"82 Trap Nights","Camera Trapping"
"956",2022-12-12,"55 Trap Nights","Camera Trapping"
"957",2016-05-03,NA,"Captured-cage trap"
"958",2022-10-01,"83 Trap Nights","Camera Trapping"
"959",2022-09-12,"82 Trap Nights","Camera Trapping"
"960",2021-10-27,"172 Trap Nights","Camera Trapping"
"961",2022-12-19,"55 Trap Nights","Camera Trapping"
"962",2022-12-06,"55 Trap Nights","Camera Trapping"
"963",2022-11-18,"55 Trap Nights","Camera Trapping"
"964",2022-10-04,"82 Trap Nights","Camera Trapping"
"965",2013-07-25,NA,"Captured-cage trap"
"966",2022-12-19,"55 Trap Nights","Camera Trapping"
"967",2016-05-04,NA,"Captured-cage trap"
"968",2013-07-24,NA,"Captured-cage trap"
"969",2022-09-24,"82 Trap Nights","Camera Trapping"
"970",2022-12-14,"8 Trap Nights","Cage Trapping"
"971",2022-09-15,"82 Trap Nights","Camera Trapping"
"972",2022-10-02,"82 Trap Nights","Camera Trapping"
"973",2022-12-21,"55 Trap Nights","Camera Trapping"
"974",2022-11-22,"55 Trap Nights","Camera Trapping"
"975",2022-12-10,"55 Trap Nights","Camera Trapping"
"976",2021-09-02,"172 Trap Nights","Camera Trapping"
"977",2022-12-09,"55 Trap Nights","Camera Trapping"
"978",2021-09-01,"172 Trap Nights","Camera Trapping"
"979",2022-11-08,"55 Trap Nights","Camera Trapping"
"980",2022-12-07,"55 Trap Nights","Camera Trapping"
"981",2022-10-24,"82 Trap Nights","Camera Trapping"
"982",2013-07-24,NA,"Captured-cage trap"
"983",2022-12-15,"8 Trap Nights","Cage Trapping"
"984",2021-09-02,"172 Trap Nights","Camera Trapping"
"985",2022-09-23,"78 Trap Nights","Camera Trapping"
"986",2016-05-06,NA,"Captured-cage trap"
"987",2022-11-13,"55 Trap Nights","Camera Trapping"
"988",2022-12-12,"55 Trap Nights","Camera Trapping"
"989",2022-10-19,"82 Trap Nights","Camera Trapping"
"990",2022-10-22,"82 Trap Nights","Camera Trapping"
"991",2022-12-20,"54 Trap Nights","Camera Trapping"
"992",2001-11-08,NA,"Captured-cage trap"
"993",2022-12-14,"10 Trap Nights","Cage Trapping"
"994",2013-07-23,NA,"Captured-cage trap"
"995",2016-05-06,NA,"Captured-cage trap"
"996",2022-11-22,"55 Trap Nights","Camera Trapping"
"997",2022-10-24,"82 Trap Nights","Camera Trapping"
"998",2016-05-05,NA,"Captured-cage trap"
"999",2022-12-01,"55 Trap Nights","Camera Trapping"
"1000",2022-10-02,"82 Trap Nights","Camera Trapping"
"1001",2018-12-28,NA,"Road kill"
"1002",2022-11-30,"55 Trap Nights","Camera Trapping"
"1003",2016-05-04,NA,"Captured-cage trap"
"1004",2016-05-06,NA,"Captured-cage trap"
"1005",2022-09-08,"82 Trap Nights","Camera Trapping"
"1006",2022-10-11,"82 Trap Nights","Camera Trapping"
"1007",2022-10-29,"82 Trap Nights","Camera Trapping"
"1008",2022-10-18,"82 Trap Nights","Camera Trapping"
"1009",2018-12-28,NA,"Road kill"
"1010",2022-09-14,"82 Trap Nights","Camera Trapping"
"1011",NA,NA,"DOG KILL"
"1012",2016-05-03,NA,"Captured-cage trap"
"1013",2022-12-07,"55 Trap Nights","Camera Trapping"
"1014",2022-12-04,"55 Trap Nights","Camera Trapping"
"1015",2022-10-14,"82 Trap Nights","Camera Trapping"
"1016",NA,NA,"TRAP"
"1017",NA,NA,NA
"1018",2022-10-25,"82 Trap Nights","Camera Trapping"
"1019",NA,NA,NA
"1020",2021-11-17,"172 Trap Nights","Camera Trapping"
"1021",2016-05-05,NA,"Captured-cage trap"
"1022",2014-04-16,NA,"Observed-spotlighting"
"1023",2022-11-28,"55 Trap Nights","Camera Trapping"
"1024",2022-12-29,"55 Trap Nights","Camera Trapping"
"1025",2022-10-20,"82 Trap Nights","Camera Trapping"
"1026",2022-12-02,"55 Trap Nights","Camera Trapping"
"1027",NA,NA,"ROAD KILL"
"1028",2022-10-06,"82 Trap Nights","Camera Trapping"
"1029",2022-11-06,"82 Trap Nights","Camera Trapping"
"1030",2022-10-01,"78 Trap Nights","Camera Trapping"
"1031",2022-11-27,"55 Trap Nights","Camera Trapping"
"1032",2022-11-24,"55 Trap Nights","Camera Trapping"
"1033",2022-12-18,"55 Trap Nights","Camera Trapping"
"1034",NA,NA,NA
"1035",2022-09-10,"82 Trap Nights","Camera Trapping"
"1036",2022-12-01,"55 Trap Nights","Camera Trapping"
"1037",2022-12-15,"55 Trap Nights","Camera Trapping"
"1038",NA,NA,NA
"1039",2022-12-11,"55 Trap Nights","Camera Trapping"
"1040",2022-12-01,"55 Trap Nights","Camera Trapping"
"1041",2016-05-04,NA,"Captured-cage trap"
"1042",2022-10-23,"82 Trap Nights","Camera Trapping"
"1043",2021-09-20,"172 Trap Nights","Camera Trapping"
"1044",2022-11-08,"59 Trap Nights","Camera Trapping"
